code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines
1878495,TRUE,REISTAD Henny,REISTAD H,Henny REISTAD,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,181,0,['Handball']
1878496,TRUE,SKOGRAND Stine,SKOGRAND S,Stine SKOGRAND,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,173,0,['Handball']
1878500,TRUE,SOLBERG-ISAKSEN Sanna,SOLBERG-ISAKSEN S,Sanna SOLBERG-ISAKSEN,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,178,0,['Handball']
1878501,TRUE,JACOBSEN Marit,JACOBSEN M,Marit JACOBSEN,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,168,0,['Handball']
1878509,TRUE,LUNDE Katrine,LUNDE K,Katrine LUNDE,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,180,0,['Handball']
1878510,TRUE,BAKKERUD Ingvild,BAKKERUD I,Ingvild BAKKERUD,Female,Alternate Athlete,NOR,Norway,Norway,Norway,Norway,NOR,183,0,['Handball']
1878511,TRUE,BREISTOEL Kristine,BREISTOEL K,Kristine BREISTOEL,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,192,0,['Handball']
1878514,TRUE,KRISTIANSEN Veronica,KRISTIANSEN V,Veronica KRISTIANSEN,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,174,0,['Handball']
1878515,TRUE,OFTEDAL Stine Bredal,OFTEDAL SB,Stine Bredal OFTEDAL,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,168,0,['Handball']
1878516,TRUE,BRATTSET DALE Kari,BRATTSET DALE K,Kari BRATTSET DALE,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,183,0,['Handball']
1878518,TRUE,AARDAHL Maren,AARDAHL M,Maren AARDAHL,Female,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,183,0,['Handball']
1878521,TRUE,HELSETH Martin,HELSETH M,Martin HELSETH,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,0,0,['Rowing']
